time,ax,ay,az,atotal
2021-09-03 18:45:41.1360,-0.72,-0.56,-0.52,1.04
2021-09-03 18:45:41.1460,-0.83,-0.64,-0.39,1.11
2021-09-03 18:45:41.1560,-0.24,0.19,0.0,0.3
2021-09-03 18:45:41.1660,-0.5,0.18,0.03,0.53
2021-09-03 18:45:41.1760,-0.76,0.07,-0.08,0.76
2021-09-03 18:45:41.1860,-0.37,0.1,-0.29,0.48
2021-09-03 18:45:41.1960,0.13,0.03,-0.38,0.4
2021-09-03 18:45:41.2060,0.33,0.0,-0.37,0.49
2021-09-03 18:45:41.2220,0.18,-0.04,-0.34,0.38
2021-09-03 18:45:41.2260,0.01,-0.04,-0.27,0.27
2021-09-03 18:45:41.2360,-0.12,-0.08,-0.25,0.28
2021-09-03 18:45:41.2460,-0.11,-0.07,-0.19,0.23
2021-09-03 18:45:41.2560,0.02,-0.01,-0.04,0.04
2021-09-03 18:45:41.2660,0.06,0.03,0.02,0.06
2021-09-03 18:45:41.2760,0.0,0.01,0.06,0.06
2021-09-03 18:45:41.2860,-0.07,0.04,0.09,0.12
2021-09-03 18:45:41.2960,-0.11,-0.05,0.13,0.17
2021-09-03 18:45:41.3060,-0.11,-0.06,0.17,0.21
2021-09-03 18:45:41.3220,-0.09,-0.01,0.19,0.21
2021-09-03 18:45:41.3260,-0.08,0.03,0.17,0.19
2021-09-03 18:45:41.3360,-0.03,-0.01,0.09,0.09
2021-09-03 18:45:41.3460,0.11,0.02,-0.02,0.11
2021-09-03 18:45:41.3550,0.12,0.04,-0.06,0.13
2021-09-03 18:45:41.3660,0.03,0.03,-0.04,0.05
2021-09-03 18:45:41.3750,0.0,0.03,0.01,0.03
2021-09-03 18:45:41.3850,0.05,0.03,0.02,0.06
2021-09-03 18:45:41.3960,0.11,-0.01,0.05,0.12
2021-09-03 18:45:41.4050,0.1,0.01,0.09,0.13
2021-09-03 18:45:41.4210,0.0,0.03,0.11,0.11
2021-09-03 18:45:41.4250,-0.07,0.0,0.09,0.11
2021-09-03 18:45:41.4350,-0.04,-0.02,0.08,0.09
2021-09-03 18:45:41.4450,-0.03,-0.03,0.05,0.06
2021-09-03 18:45:41.4550,0.0,-0.01,0.03,0.03
2021-09-03 18:45:41.4650,-0.05,0.02,0.01,0.05
2021-09-03 18:45:41.4750,-0.06,-0.03,-0.07,0.09
2021-09-03 18:45:41.4850,-0.05,-0.05,-0.1,0.12
2021-09-03 18:45:41.4950,-0.03,-0.02,-0.05,0.06
2021-09-03 18:45:41.5050,0.02,-0.02,-0.06,0.06
2021-09-03 18:45:41.5220,0.03,0.03,0.0,0.04
2021-09-03 18:45:41.5250,0.03,0.04,0.01,0.05
2021-09-03 18:45:41.5350,-0.02,-0.01,-0.04,0.04
2021-09-03 18:45:41.5450,-0.1,0.08,-0.03,0.13
2021-09-03 18:45:41.5550,-0.09,0.04,-0.02,0.1
2021-09-03 18:45:41.5650,-0.01,-0.03,-0.07,0.07
2021-09-03 18:45:41.5750,0.04,0.03,-0.05,0.07
2021-09-03 18:45:41.5850,0.05,0.06,-0.03,0.08
2021-09-03 18:45:41.5950,0.08,0.04,-0.01,0.09
2021-09-03 18:45:41.6050,0.08,0.01,-0.02,0.08
2021-09-03 18:45:41.6220,0.07,-0.02,0.0,0.07
2021-09-03 18:45:41.6260,0.09,0.0,0.09,0.12
2021-09-03 18:45:41.6350,0.12,0.04,0.11,0.16
2021-09-03 18:45:41.6450,0.1,0.0,0.05,0.11
2021-09-03 18:45:41.6540,0.12,0.03,0.06,0.13
2021-09-03 18:45:41.6650,0.15,0.05,0.11,0.19
2021-09-03 18:45:41.6740,0.04,-0.01,0.14,0.14
2021-09-03 18:45:41.6850,-0.03,0.0,0.11,0.11
2021-09-03 18:45:41.6940,0.07,0.04,0.1,0.12
2021-09-03 18:45:41.7050,0.18,0.07,0.14,0.23
2021-09-03 18:45:41.7210,0.24,0.02,0.22,0.32
2021-09-03 18:45:41.7240,0.21,-0.07,0.19,0.29
2021-09-03 18:45:41.7350,0.07,-0.06,0.15,0.17
2021-09-03 18:45:41.7440,-0.07,0.02,0.12,0.14
2021-09-03 18:45:41.7540,-0.19,-0.02,0.12,0.22
2021-09-03 18:45:41.7640,-0.09,0.01,0.19,0.21
2021-09-03 18:45:41.7740,0.06,0.2,0.26,0.33
2021-09-03 18:45:41.7840,0.11,0.11,0.15,0.21
2021-09-03 18:45:41.7950,0.1,0.01,0.05,0.11
2021-09-03 18:45:41.8050,0.08,-0.01,0.0,0.08
2021-09-03 18:45:41.8200,0.23,0.34,0.03,0.41
2021-09-03 18:45:41.8240,0.27,0.27,0.01,0.38
2021-09-03 18:45:41.8340,0.14,-0.03,-0.21,0.25
2021-09-03 18:45:41.8440,-0.12,-0.15,-0.41,0.45
2021-09-03 18:45:41.8540,-0.34,-0.16,-0.5,0.62
2021-09-03 18:45:41.8640,-0.38,-0.06,-0.46,0.59
2021-09-03 18:45:41.8740,-0.45,0.01,-0.31,0.54
2021-09-03 18:45:41.8840,-0.5,-0.01,-0.2,0.53
2021-09-03 18:45:41.8940,-0.43,-0.14,-0.2,0.49
2021-09-03 18:45:41.9040,-0.17,-0.21,-0.26,0.37
2021-09-03 18:45:41.9200,0.14,-0.04,-0.32,0.35
2021-09-03 18:45:41.9240,0.26,0.07,-0.26,0.37
2021-09-03 18:45:41.9340,0.15,-0.1,-0.15,0.23
2021-09-03 18:45:41.9440,0.03,-0.12,-0.06,0.13
2021-09-03 18:45:41.9540,0.07,-0.05,0.01,0.08
2021-09-03 18:45:41.9640,0.31,0.05,0.08,0.32
2021-09-03 18:45:41.9740,0.46,0.16,0.18,0.51
2021-09-03 18:45:41.9840,0.46,0.15,0.36,0.6
2021-09-03 18:45:41.9940,0.4,0.15,0.42,0.59
2021-09-03 18:45:42.0040,0.3,0.03,0.39,0.49
2021-09-03 18:45:42.0200,0.16,0.09,0.29,0.34
2021-09-03 18:45:42.0230,0.14,0.09,0.28,0.32
2021-09-03 18:45:42.0340,0.26,0.13,0.29,0.41
2021-09-03 18:45:42.0440,0.37,0.09,0.23,0.44
2021-09-03 18:45:42.0540,0.3,0.12,0.18,0.36
2021-09-03 18:45:42.0640,0.14,0.07,0.08,0.17
2021-09-03 18:45:42.0740,0.08,-0.01,0.0,0.08
2021-09-03 18:45:42.0840,0.16,-0.06,0.02,0.17
2021-09-03 18:45:42.0940,0.34,0.1,0.11,0.37
2021-09-03 18:45:42.1040,0.3,0.22,0.27,0.45
2021-09-03 18:45:42.1200,-0.09,0.09,0.24,0.27
2021-09-03 18:45:42.1240,-0.25,-0.08,-0.11,0.28
2021-09-03 18:45:42.1330,-0.15,-0.01,-0.36,0.39
2021-09-03 18:45:42.1430,-0.13,0.11,-0.35,0.38
2021-09-03 18:45:42.1530,-0.1,0.01,-0.2,0.22
2021-09-03 18:45:42.1630,-0.01,0.01,-0.2,0.2
2021-09-03 18:45:42.1730,0.01,-0.04,-0.31,0.31
2021-09-03 18:45:42.1840,-0.11,-0.13,-0.41,0.44
2021-09-03 18:45:42.1930,-0.15,-0.08,-0.39,0.42
2021-09-03 18:45:42.2040,-0.09,0.06,-0.25,0.27
2021-09-03 18:45:42.2200,-0.14,-0.01,-0.08,0.16
2021-09-03 18:45:42.2240,-0.22,-0.2,0.04,0.3
2021-09-03 18:45:42.2330,-0.11,-0.02,0.03,0.11
2021-09-03 18:45:42.2430,-0.16,0.13,0.11,0.23
2021-09-03 18:45:42.2530,-0.3,-0.09,0.11,0.33
2021-09-03 18:45:42.2630,-0.43,-0.09,0.13,0.45
2021-09-03 18:45:42.2730,-0.65,0.08,0.4,0.76
2021-09-03 18:45:42.2830,-0.69,-0.07,0.55,0.88
2021-09-03 18:45:42.2930,-0.61,-0.15,0.51,0.8
2021-09-03 18:45:42.3030,-0.74,-0.08,0.52,0.9
2021-09-03 18:45:42.3200,-0.97,0.06,0.55,1.11
2021-09-03 18:45:42.3240,-1.05,0.11,0.63,1.22
2021-09-03 18:45:42.3330,-1.05,0.17,0.81,1.33
2021-09-03 18:45:42.3430,-1.13,0.35,1.06,1.58
2021-09-03 18:45:42.3530,-0.68,0.41,0.31,0.85
2021-09-03 18:45:42.3630,1.34,-0.37,-0.69,1.55
2021-09-03 18:45:42.3730,1.56,0.07,-1.61,2.24
2021-09-03 18:45:42.3830,0.67,-0.36,-1.68,1.84
2021-09-03 18:45:42.3940,0.82,-0.2,-1.07,1.36
2021-09-03 18:45:42.4030,0.96,0.05,-0.71,1.19
2021-09-03 18:45:42.4210,0.83,-0.1,-0.46,0.95
2021-09-03 18:45:42.4250,0.67,0.26,-0.12,0.72
2021-09-03 18:45:42.4330,0.4,0.4,-0.01,0.56
2021-09-03 18:45:42.4420,0.19,0.22,0.15,0.32
2021-09-03 18:45:42.4530,0.1,0.34,0.21,0.41
2021-09-03 18:45:42.4620,0.1,0.26,0.09,0.29
2021-09-03 18:45:42.4730,0.13,0.03,-0.06,0.14
2021-09-03 18:45:42.4830,0.24,-0.11,0.0,0.26
2021-09-03 18:45:42.4930,0.29,0.01,0.11,0.31
2021-09-03 18:45:42.5030,0.28,0.18,0.19,0.38
2021-09-03 18:45:42.5190,0.32,0.12,0.28,0.44
2021-09-03 18:45:42.5230,0.47,-0.01,0.17,0.49
2021-09-03 18:45:42.5320,0.71,0.1,0.1,0.72
2021-09-03 18:45:42.5420,0.72,0.21,0.3,0.8
