time,ax,ay,az,atotal
2021-09-03 18:56:06.0150,0.2,-0.16,-0.03,0.25
2021-09-03 18:56:06.0170,-0.33,-0.15,-0.18,0.4
2021-09-03 18:56:06.0180,-0.38,-0.18,-0.44,0.6
2021-09-03 18:56:06.0260,0.35,0.02,-0.78,0.85
2021-09-03 18:56:06.0310,0.26,0.02,-0.29,0.39
2021-09-03 18:56:06.0410,-0.24,-0.01,-0.32,0.4
2021-09-03 18:56:06.0510,0.15,0.01,-0.22,0.26
2021-09-03 18:56:06.0610,0.17,0.04,-0.16,0.23
2021-09-03 18:56:06.0710,0.02,-0.08,-0.3,0.31
2021-09-03 18:56:06.0810,-0.09,-0.07,-0.26,0.28
2021-09-03 18:56:06.1030,-0.04,0.06,-0.17,0.18
2021-09-03 18:56:06.1050,-0.1,0.07,-0.13,0.17
2021-09-03 18:56:06.1110,-0.19,0.06,-0.06,0.2
2021-09-03 18:56:06.1200,-0.15,0.09,-0.03,0.17
2021-09-03 18:56:06.1310,-0.14,0.09,0.07,0.18
2021-09-03 18:56:06.1410,-0.13,0.05,0.11,0.17
2021-09-03 18:56:06.1510,-0.01,0.09,0.17,0.19
2021-09-03 18:56:06.1610,0.06,0.08,0.16,0.18
2021-09-03 18:56:06.1700,0.05,-0.03,0.12,0.13
2021-09-03 18:56:06.1810,-0.02,-0.02,0.14,0.14
2021-09-03 18:56:06.2040,-0.01,0.01,0.12,0.12
2021-09-03 18:56:06.2050,0.04,-0.03,0.1,0.11
2021-09-03 18:56:06.2100,0.07,-0.05,0.08,0.11
2021-09-03 18:56:06.2200,0.09,-0.06,0.06,0.12
2021-09-03 18:56:06.2300,0.14,-0.02,0.06,0.15
2021-09-03 18:56:06.2410,0.15,0.04,0.05,0.16
2021-09-03 18:56:06.2500,0.06,-0.03,-0.04,0.07
2021-09-03 18:56:06.2610,-0.04,-0.06,-0.11,0.13
2021-09-03 18:56:06.2700,0.02,0.0,-0.01,0.02
2021-09-03 18:56:06.2810,0.04,0.03,0.06,0.07
2021-09-03 18:56:06.3030,-0.01,0.04,0.02,0.04
2021-09-03 18:56:06.3050,-0.1,0.02,-0.04,0.1
2021-09-03 18:56:06.3100,-0.13,-0.02,-0.09,0.15
2021-09-03 18:56:06.3200,0.02,0.03,-0.09,0.09
2021-09-03 18:56:06.3300,0.05,0.01,-0.01,0.05
2021-09-03 18:56:06.3400,0.05,-0.04,-0.02,0.06
2021-09-03 18:56:06.3500,-0.04,-0.03,-0.09,0.1
2021-09-03 18:56:06.3610,-0.11,0.06,-0.12,0.17
2021-09-03 18:56:06.3700,-0.13,0.08,-0.08,0.17
2021-09-03 18:56:06.3810,-0.04,0.02,-0.02,0.04
2021-09-03 18:56:06.4040,0.04,-0.03,-0.02,0.05
2021-09-03 18:56:06.4050,-0.01,-0.02,-0.04,0.04
2021-09-03 18:56:06.4100,-0.11,0.02,-0.04,0.11
2021-09-03 18:56:06.4200,-0.13,0.08,0.03,0.15
2021-09-03 18:56:06.4300,-0.03,0.05,0.04,0.07
2021-09-03 18:56:06.4400,0.07,0.01,-0.02,0.07
2021-09-03 18:56:06.4500,0.09,-0.02,-0.01,0.09
2021-09-03 18:56:06.4600,0.09,-0.01,0.04,0.09
2021-09-03 18:56:06.4700,0.08,0.05,0.05,0.1
2021-09-03 18:56:06.4800,0.03,0.04,0.05,0.07
2021-09-03 18:56:06.5040,0.0,0.03,0.04,0.05
2021-09-03 18:56:06.5050,-0.01,0.01,0.0,0.01
2021-09-03 18:56:06.5090,0.02,-0.02,-0.01,0.03
2021-09-03 18:56:06.5190,0.05,0.05,0.06,0.09
2021-09-03 18:56:06.5300,0.0,0.03,0.06,0.06
2021-09-03 18:56:06.5400,0.02,-0.05,0.01,0.05
2021-09-03 18:56:06.5500,0.09,-0.02,-0.01,0.09
2021-09-03 18:56:06.5600,0.1,-0.01,-0.02,0.1
2021-09-03 18:56:06.5700,0.1,-0.02,-0.01,0.1
2021-09-03 18:56:06.5800,0.05,0.01,0.02,0.05
2021-09-03 18:56:06.6060,-0.05,0.01,-0.02,0.05
2021-09-03 18:56:06.6070,0.0,0.02,0.02,0.02
2021-09-03 18:56:06.6090,0.05,0.05,0.05,0.08
2021-09-03 18:56:06.6280,-0.05,-0.03,0.02,0.06
2021-09-03 18:56:06.6300,-0.08,0.01,0.01,0.08
2021-09-03 18:56:06.6420,-0.05,0.09,0.02,0.1
2021-09-03 18:56:06.6490,-0.04,0.07,0.05,0.09
2021-09-03 18:56:06.6590,-0.02,0.05,0.05,0.07
2021-09-03 18:56:06.6690,-0.04,0.0,0.0,0.04
2021-09-03 18:56:06.6800,0.05,-0.03,-0.04,0.07
2021-09-03 18:56:06.7040,0.09,-0.05,0.05,0.11
2021-09-03 18:56:06.7050,0.09,-0.03,0.13,0.16
2021-09-03 18:56:06.7090,0.13,-0.03,0.15,0.2
2021-09-03 18:56:06.7190,0.09,-0.03,0.11,0.14
2021-09-03 18:56:06.7290,0.01,-0.03,-0.01,0.03
2021-09-03 18:56:06.7390,-0.07,0.03,-0.08,0.11
2021-09-03 18:56:06.7490,-0.1,0.02,-0.06,0.11
2021-09-03 18:56:06.7590,-0.05,0.0,-0.01,0.05
2021-09-03 18:56:06.7690,-0.02,0.07,-0.07,0.1
2021-09-03 18:56:06.7800,0.01,0.04,-0.09,0.09
2021-09-03 18:56:06.8050,0.08,0.0,-0.08,0.11
2021-09-03 18:56:06.8060,0.05,-0.01,0.01,0.05
2021-09-03 18:56:06.8080,0.08,-0.01,0.01,0.08
2021-09-03 18:56:06.8190,0.15,0.08,-0.03,0.17
2021-09-03 18:56:06.8290,0.09,0.06,-0.06,0.12
2021-09-03 18:56:06.8390,0.1,0.03,0.01,0.1
2021-09-03 18:56:06.8490,0.15,0.08,0.02,0.17
2021-09-03 18:56:06.8590,0.14,0.08,0.12,0.2
2021-09-03 18:56:06.8690,0.05,0.06,0.15,0.16
2021-09-03 18:56:06.8790,0.03,0.1,0.1,0.14
2021-09-03 18:56:06.9040,0.06,0.17,0.14,0.22
2021-09-03 18:56:06.9050,0.26,0.01,0.26,0.36
2021-09-03 18:56:06.9080,0.46,-0.07,0.12,0.48
2021-09-03 18:56:06.9180,0.11,-0.01,0.17,0.2
2021-09-03 18:56:06.9290,-0.17,-0.08,0.33,0.37
2021-09-03 18:56:06.9380,-0.26,-0.13,0.4,0.49
2021-09-03 18:56:06.9490,-0.24,0.14,0.4,0.48
2021-09-03 18:56:06.9590,-0.17,0.13,0.33,0.39
2021-09-03 18:56:06.9690,-0.04,0.11,0.29,0.31
2021-09-03 18:56:06.9790,0.02,0.03,0.11,0.11
2021-09-03 18:56:07.0030,-0.06,-0.04,-0.02,0.07
2021-09-03 18:56:07.0040,-0.15,0.01,-0.12,0.19
2021-09-03 18:56:07.0080,-0.21,0.0,-0.11,0.23
2021-09-03 18:56:07.0180,-0.2,-0.07,-0.03,0.21
2021-09-03 18:56:07.0290,-0.14,-0.01,0.07,0.15
2021-09-03 18:56:07.0380,-0.03,0.06,0.13,0.14
2021-09-03 18:56:07.0480,0.09,0.11,0.12,0.18
2021-09-03 18:56:07.0580,0.14,0.13,0.07,0.2
2021-09-03 18:56:07.0680,0.13,0.02,0.02,0.13
2021-09-03 18:56:07.0780,0.18,-0.16,0.05,0.24
2021-09-03 18:56:07.1010,0.32,-0.13,0.11,0.36
2021-09-03 18:56:07.1030,0.43,-0.03,0.23,0.48
2021-09-03 18:56:07.1080,0.41,0.02,0.33,0.52
2021-09-03 18:56:07.1180,0.21,0.02,0.26,0.33
2021-09-03 18:56:07.1280,0.02,0.0,0.05,0.05
2021-09-03 18:56:07.1380,-0.02,-0.03,0.0,0.03
2021-09-03 18:56:07.1480,0.02,-0.07,0.05,0.08
2021-09-03 18:56:07.1580,0.16,-0.04,0.06,0.17
2021-09-03 18:56:07.1680,0.16,0.08,0.11,0.21
2021-09-03 18:56:07.1780,0.07,0.06,0.03,0.09
2021-09-03 18:56:07.2040,0.12,-0.05,-0.14,0.19
2021-09-03 18:56:07.2050,0.27,0.07,-0.11,0.29
2021-09-03 18:56:07.2070,0.31,0.15,-0.01,0.34
2021-09-03 18:56:07.2180,0.18,-0.06,-0.02,0.19
2021-09-03 18:56:07.2280,0.1,-0.07,0.02,0.12
2021-09-03 18:56:07.2380,0.07,0.01,0.11,0.13
2021-09-03 18:56:07.2480,0.08,0.05,0.17,0.19
2021-09-03 18:56:07.2580,-0.02,0.15,0.25,0.29
2021-09-03 18:56:07.2680,-0.11,0.21,0.35,0.42
2021-09-03 18:56:07.2780,-0.1,0.04,0.07,0.12
2021-09-03 18:56:07.3030,-0.17,-0.14,-0.15,0.26
2021-09-03 18:56:07.3040,-0.23,0.0,-0.13,0.26
2021-09-03 18:56:07.3070,-0.21,0.14,-0.02,0.25
2021-09-03 18:56:07.3180,-0.29,0.03,-0.04,0.29
2021-09-03 18:56:07.3270,-0.28,0.06,-0.06,0.29
2021-09-03 18:56:07.3370,-0.22,0.04,-0.01,0.22
2021-09-03 18:56:07.3470,-0.1,-0.05,-0.18,0.21
2021-09-03 18:56:07.3580,-0.09,-0.03,-0.18,0.2
2021-09-03 18:56:07.3680,-0.05,0.04,-0.23,0.23
2021-09-03 18:56:07.3780,-0.16,0.16,-0.38,0.44
2021-09-03 18:56:07.4030,-0.35,0.09,-0.35,0.5
2021-09-03 18:56:07.4040,-0.52,-0.06,-0.4,0.65
2021-09-03 18:56:07.4070,-0.4,-0.1,-0.48,0.63
2021-09-03 18:56:07.4170,-0.16,-0.06,-0.31,0.35
2021-09-03 18:56:07.4270,-0.1,0.03,-0.13,0.16
2021-09-03 18:56:07.4370,-0.21,0.09,-0.24,0.33
2021-09-03 18:56:07.4480,-0.38,0.19,-0.46,0.62
2021-09-03 18:56:07.4580,-0.32,0.26,-0.55,0.68
2021-09-03 18:56:07.4670,-0.36,0.1,-0.44,0.57
2021-09-03 18:56:07.4780,-0.33,-0.08,-0.3,0.45
2021-09-03 18:56:07.5020,-0.2,0.01,-0.12,0.23
2021-09-03 18:56:07.5030,-0.18,0.02,-0.03,0.18
2021-09-03 18:56:07.5070,-0.16,-0.01,-0.08,0.17
2021-09-03 18:56:07.5170,-0.04,-0.06,-0.11,0.13
2021-09-03 18:56:07.5270,0.0,0.02,0.05,0.05
2021-09-03 18:56:07.5370,-0.33,0.18,0.23,0.44
2021-09-03 18:56:07.5470,-0.39,0.03,-0.16,0.42
2021-09-03 18:56:07.5570,0.21,-0.02,-0.43,0.47
2021-09-03 18:56:07.5670,0.23,0.01,-0.19,0.29
2021-09-03 18:56:07.5770,-0.2,-0.2,0.1,0.3
2021-09-03 18:56:07.6000,-0.44,-0.09,0.29,0.53
2021-09-03 18:56:07.6010,-0.43,0.05,0.25,0.49
2021-09-03 18:56:07.6060,-0.16,0.01,-0.03,0.16
2021-09-03 18:56:07.6170,-0.02,0.13,0.0,0.13
2021-09-03 18:56:07.6270,-0.33,0.06,0.27,0.43
2021-09-03 18:56:07.6360,-0.6,-0.13,0.25,0.66
2021-09-03 18:56:07.6470,-0.36,-0.04,0.11,0.37
2021-09-03 18:56:07.6570,-0.02,0.19,0.21,0.28
2021-09-03 18:56:07.6670,0.05,-0.01,0.24,0.24
2021-09-03 18:56:07.6770,0.09,-0.32,0.1,0.34
2021-09-03 18:56:07.7010,0.29,-0.14,0.11,0.34
2021-09-03 18:56:07.7020,0.43,0.14,0.13,0.47
2021-09-03 18:56:07.7060,0.26,0.02,0.02,0.26
2021-09-03 18:56:07.7170,-0.03,-0.11,0.11,0.15
2021-09-03 18:56:07.7270,-0.06,-0.08,0.29,0.3
2021-09-03 18:56:07.7360,0.2,0.02,0.28,0.34
2021-09-03 18:56:07.7470,0.31,-0.02,0.32,0.44
2021-09-03 18:56:07.7560,0.01,0.0,0.35,0.35
2021-09-03 18:56:07.7660,-0.36,-0.06,0.2,0.41
2021-09-03 18:56:07.7770,-0.38,-0.17,0.07,0.42
2021-09-03 18:56:07.7990,-0.08,-0.04,0.06,0.1
2021-09-03 18:56:07.8010,0.17,0.09,0.04,0.19
2021-09-03 18:56:07.8060,0.24,-0.03,-0.04,0.24
2021-09-03 18:56:07.8160,0.29,-0.21,-0.11,0.37
2021-09-03 18:56:07.8260,0.32,-0.19,-0.11,0.38
2021-09-03 18:56:07.8360,0.26,-0.07,-0.05,0.27
2021-09-03 18:56:07.8460,0.19,-0.18,-0.09,0.27
2021-09-03 18:56:07.8560,0.22,-0.19,-0.04,0.29
2021-09-03 18:56:07.8660,0.25,-0.09,0.11,0.28
2021-09-03 18:56:07.8760,0.26,-0.06,0.27,0.37
2021-09-03 18:56:07.8990,0.23,-0.23,0.35,0.47
2021-09-03 18:56:07.9000,0.22,-0.41,0.32,0.56
2021-09-03 18:56:07.9050,0.34,-0.35,0.35,0.6
2021-09-03 18:56:07.9150,0.56,-0.21,0.38,0.7
2021-09-03 18:56:07.9260,0.71,-0.27,0.37,0.84
2021-09-03 18:56:07.9360,0.71,-0.57,0.42,1.0
2021-09-03 18:56:07.9460,0.73,-0.76,0.5,1.16
2021-09-03 18:56:07.9550,0.82,-0.85,0.6,1.32
2021-09-03 18:56:07.9660,1.02,-0.8,0.56,1.41
2021-09-03 18:56:07.9760,1.1,-0.72,0.51,1.41
2021-09-03 18:56:08.0000,0.93,-0.83,0.47,1.33
2021-09-03 18:56:08.0020,0.87,-0.88,0.45,1.31
2021-09-03 18:56:08.0050,0.8,-0.76,0.6,1.25
2021-09-03 18:56:08.0160,1.12,-0.8,0.77,1.57
2021-09-03 18:56:08.0250,1.12,-0.73,0.98,1.65
2021-09-03 18:56:08.0350,0.75,-0.56,1.01,1.37
2021-09-03 18:56:08.0460,0.22,-0.55,1.03,1.18
2021-09-03 18:56:08.0550,-0.16,-0.78,1.15,1.39
2021-09-03 18:56:08.0660,-0.31,-0.79,1.28,1.53
2021-09-03 18:56:08.0760,-0.41,-0.65,1.43,1.62
2021-09-03 18:56:08.1010,-0.2,-0.77,1.66,1.84
2021-09-03 18:56:08.1020,0.23,-1.06,1.95,2.23
2021-09-03 18:56:08.1050,0.54,-1.08,2.2,2.5
2021-09-03 18:56:08.1150,0.66,-1.06,2.36,2.66
